Agent,Location_ID,Distance,Priority,Total_Distance
Agent_3,a7c125a0a07b75146167b7f04a7f8e98,24,Medium,1386
Agent_3,acca74d2a60c03b46a5256c02cef9244,25,Medium,1386
Agent_3,aa0fbd830c89acc3d79d311ff43d0920,28,Medium,1386
Agent_3,8e13b94866f3b17a0b57139b90df1a4e,32,Medium,1386
Agent_3,38d1cd89306128348ffdf4cc23f3a50a,36,Medium,1386
Agent_3,de4e13fd7d6469c5ada77d0843c55e42,38,Medium,1386
Agent_3,ad6891a1937cb8723a2c08ba1ae59873,43,Medium,1386
Agent_3,03f846ad03437d864a8d2a22976dcafe,47,Medium,1386
Agent_3,23e96758fd640560e9b1fbcda90abfc4,49,Medium,1386
Agent_3,7300450cedf7e4c35c243c4a03c1e8a6,7,Low,1386
Agent_3,d3b6830d18c7de943d1e707d1f061d40,8,Low,1386
Agent_3,261cb4f92498ca05d5bd1a327a261d9c,9,Low,1386
Agent_3,8d1b923f85a34afac5bd669d50417602,10,Low,1386
Agent_3,a9b0d1c26105279e1b8edc63d06bd668,12,Low,1386
Agent_3,39c9dc82d5f60eb1ee8bc4fe4aa29dc6,15,Low,1386
Agent_3,7ab7a537b678b6dd73d825ff6ee7be9d,16,Low,1386
Agent_3,70a8cfb1730fd53e5c15f2a62e1e5448,18,Low,1386
Agent_3,0ccd415657ae8a6cd1c71b00155a019e,20,Low,1386
Agent_3,4b7139f34592b3a31687243a302fa75b,22,Low,1386
Agent_3,3ccb27f9c7ee205656acef98c19fc061,25,Low,1386
Agent_3,5aa9e4fdd4dfd20959cad2d772509598,31,Low,1386
Agent_3,b0964d76975dbc174b623b5a300973d5,34,Low,1386
Agent_3,8b47e5ba29a9cd9947ee6be2f025ed66,36,Low,1386
Agent_3,fe6d73ac006153a398439253006e5adc,37,Low,1386
Agent_3,c82a5e4fafdbeb34f08928ccfba27d14,40,Low,1386
Agent_3,4c06b42fbf7b97ab10779cda5549cd1c,46,Low,1386
Agent_3,f64cdee66599119324ce57a97e43700d,48,Low,1386
Agent_3,eb03682e1118b3af176b229932bfa8be,50,Low,1386
